wanda
;0:00:00 - 0:00:01.16;None
;0:00:01.16 - 0:00:01.20;4
;0:00:01.20 - 0:00:01.24;5
;0:00:01.24 - 0:00:01.72;6
;0:00:01.72 - 0:00:02.32;5
;0:00:02.32 - 0:00:02.80;4
;0:00:02.80 - 0:00:03.08;3
;0:00:03.08 - 0:00:03.12;4
;0:00:03.12 - 0:00:03.60;5
;0:00:03.60 - 0:00:04.60;4
;0:00:04.60 - 0:00:05.20;3
;0:00:05.20 - 0:00:05.32;2
;0:00:05.32 - 0:00:05.60;3
;0:00:05.60 - 0:00:09.68;4
stuff
;0:00:00 - 0:00:00.44;None
;0:00:00.44 - 0:00:00.68;3
;0:00:00.68 - 0:00:01.44;None
;0:00:01.44 - 0:00:01.48;4
;0:00:01.48 - 0:00:01.64;3
;0:00:01.64 - 0:00:09.68;None
